"sp","sex","group"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","M","B_M"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"B","F","B_F"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","M","O_M"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
"O","F","O_F"
